OBJECTID;CODIGO;nombre;CATEGORIA;TECNOLOGIA;ESTADO;FECHA_INSTALACION;altitud;latitud;longitud;DEPARTAMENTO;MUNICIPIO;AREA_OPERATIVA;AREA_HIDROGRAFICA;ZONA_HIDROGRAFICA;observacion;CORRIENTE;FECHA_SUSPENSION;SUBZONA_HIDROGRAFICA;ENTIDAD;subred
1;44135020;CAHUINARI - AUT [44135020];Climática Principal;Automática con Telemetría;Suspendida;2006-02-04;118;-1.35166667;-70.80375;Amazonas;Santander (Araracuara);Area Operativa 04 - Huila-Caquetá;Amazonas;Caquetá;;Amazonas;2011-08-04;Río Caqueta Bajo;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
2;44135030;CHIRIBIQUETE - AUT [44135030];Climática Principal;Automática con Telemetría;Suspendida;2006-02-04;256;-0.07416667;-72.45138889;Caquetá;Solano;Area Operativa 04 - Huila-Caquetá;Amazonas;Yarí;;Amazonas;2011-07-29;Río Mesay;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
3;52055150;CERRO PARAMO  - AUT [52055150];Climática Principal;Automática con Telemetría;En Mantenimiento;2005-12-09;3585;0.84311111;-77.38880556;Nariño;Puerres;Area Operativa 07 - Nariño-Putumayo;Pacifico;Patía;Cambio de tecnología por instalación o repotenciación de estaciones proyecto Fondo de Adaptación;0;;Río Guáitara;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Radiación Ultravioleta,Radiación Visible,
4;52055220;EL PARAISO - AUT [52055220];Climática Principal;TEST005;En Mantenimiento;2004-03-01;3120;1.07061111;-77.63688889;Nariño;Túquerres;Area Operativa 07 - Nariño-Putumayo;Pacifico;Patía;;0;;Río Guáitara;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Altiplano Nariñense-Pacifico,Radiación Ultravioleta,Radiación Visible,
5;44037040;EL ROSARIO - AUT [44037040];Limnigráfica;TEST005;En Mantenimiento;1964-08-15;600;1.72525;-75.66638889;Caquetá;Florencia (Caquetá);Area Operativa 04 - Huila-Caquetá;Amazonas;Caquetá;Actualizada Tecnología y Tipo de Transmisión por solicitud del coordinador del AO. (02022023);CarañO;;Río Orteguaza;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
6;52077020;LOS NORTES - AUT [52077020];Limnigráfica;TEST005;Activa;1984-09-15;340;1.74111111;-77.53111111;Nariño;Cumbitara;Area Operativa 07 - Nariño-Putumayo;Pacifico;Patía;;Patia;;Río Patia Medio;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Altiplano Nariñense-Pacifico,RED ALERTAS - AREA OPERATIVA 07,
7;48015040;PUERTO NARINO - AUT [48015040];Climática Principal;TEST005;En Mantenimiento;2005-07-19;158;-3.78030556;-70.36263889;Amazonas;Puerto Nariño;Area Operativa 11 - Cundinamarca-Amazonas;Amazonas;Amazonas - Directos;22/08/2022$Migracion$Se Cambia Estado por orden de la Coordinación de Planeacion Operativa Decisión tomada en la Reunión de la RED 19/08/2022;0;;Directos Río Amazonas (mi);INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Radiación Ultravioleta,Radiación Visible,
8;51025070;RICAURTE - AUT [51025070];Climática Principal;Automática con Telemetría;Suspendida;2005-12-15;1210;1.21533333;-77.99691667;Nariño;Ricaurte (Nariño);Area Operativa 07 - Nariño-Putumayo;Pacifico;Mira;;Hacha;2006-08-25;Río Mira;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
9;2502700206;CECILIA [2502700206];Limnigráfica;Automática con Telemetría;Activa;2021-05-14;24;8.46361111;-75.03166667;Córdoba;Ayapel;Area Operativa 02 - Atlántico-Bolivar-Sucre;Magdalena Cauca;Bajo Magdalena- Cauca -San Jorge;ESTACION CREADA SEGUN SOLICITUD COORDINADOR AUTOMATIZACION Y FORMATO F005 18052021|28/09/2022$Migracion$Por solicitud del Coordinador de PO. Actualizacion Fuente Generadora de Datos (IDEAM);Cno Violo;;Bajo San Jorge - La Mojana;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
10;52055210;BOTANA - AUT [52055210];Climática Principal;TEST005;En Mantenimiento;2004-03-01;2820;1.16;-77.27880556;Nariño;Pasto;Area Operativa 07 - Nariño-Putumayo;Pacifico;Patía;;0;;Río Juananbú;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Altiplano Nariñense-Pacifico,Radiación Ultravioleta,Radiación Visible,
