CODIGO,nombre,CATEGORIA,TECNOLOGIA,ESTADO,FECHA_INST,altitud,latitud,longitud,DEPARTAMEN,MUNICIPIO,AREA_OPERA,AREA_HIDRO,ZONA_HIDRO,ENTIDAD,CORRIENTE,FECHA_SUSP,SUBZONA_HI,COMID,new_COMID,watershed,subbasin
44137030,PUERTO BELEN [44137030],Limnimetrica,Convencional,Suspendida,4/15/84,143,-0.942083333,-73.77791667,Amazonas,La Chorrera,Area Operativa 04 - Huila-Caqueta,Amazonas,Putumayo,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caqueta,8/28/14,Rio Cara-Parana,141929,9026565,south_america,geoglows
44137040,MONOS LOS [44137040],Limnimetrica,Convencional,Suspendida,4/15/84,137,-0.624583333,-73.19252352,Amazonas,La Chorrera,Area Operativa 04 - Huila-Caqueta,Amazonas,Caqueta,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caqueta,8/28/14,Rio Caqueta Medio,141384,9025451,south_america,geoglows
44137050,PUERTO ZABALO [44137050],Limnimetrica,Convencional,Suspendida,4/15/84,135,-0.602916666,-72.93541667,Amazonas,Santander (Araracuara),Area Operativa 04 - Huila-Caqueta,Amazonas,Caqueta,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caqueta,4/15/89,Rio Caqueta Bajo,141372,9025409,south_america,geoglows
44137060,ANGOSTURAS[44137060],Limnimetrica,Convencional,Suspendida,4/15/84,134,-0.587916667,-72.71875,Amazonas,Santander (Araracuara),Area Operativa 04 - Huila-Caqueta,Amazonas,Caqueta,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caqueta,4/15/13,Rio Caqueta Bajo,141494,9025493,south_america,geoglows
44137070,MONOCHOA [44137070],Limnimetrica,Convencional,Activa,4/15/84,133,-0.697916667,-72.55208333,Amazonas,Santander (Araracuara),Area Operativa 04 - Huila-Caqueta,Amazonas,Caqueta,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caqueta,,Rio Caqueta Bajo,141483,9025667,south_america,geoglows
44157010,MERCEDES LAS [44157010],Limnigrafica,Convencional,Activa,4/15/86,123,-0.63875,-72.34375,Amazonas,Santander (Araracuara),Area Operativa 04 - Huila-Caqueta,Amazonas,Caqueta,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caqueta,,Rio Caqueta Bajo,141483,9025489,south_america,geoglows
44157020,MIRANAS LAS [44157020],Limnimetrica,Convencional,Activa,4/15/84,116,-1.312916667,-70.82625,Amazonas,Miriti-Parana (Campoamor),Area Operativa 04 - Huila-Caqueta,Amazonas,Caqueta,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caqueta,,Rio Caqueta Bajo,142611,9028220,south_america,geoglows
44157030,MARIA MANTECA [44157030],Limnimetrica,Convencional,Activa,4/15/84,114,-1.422916667,-70.59125,Amazonas,Miriti-Parana (Campoamor),Area Operativa 04 - Huila-Caqueta,Amazonas,Caqueta,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caqueta,,Rio Caqueta Bajo,142657,9028244,south_america,geoglows
44157040,MANACARO [44157040],Limnimetrica,Convencional,Activa,4/15/84,109,-1.528750001,-70.17875,Amazonas,La Pedrera,Area Operativa 04 - Huila-Caqueta,Amazonas,Caqueta,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caqueta,,Rio Caqueta Bajo,142742,9028548,south_america,geoglows
44167010,QUINCHE [44167010],Limnimetrica,Convencional,Activa,4/15/84,125,-0.932352608,-71.78125,Amazonas,Miriti-Parana (Campoamor),Area Operativa 04 - Huila-Caqueta,Amazonas,Caqueta,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caqueta,,Rio Caqueta Bajo,141857,9026552,south_america,geoglows
