fid,hydroid,river,longitude,latitude,DPTO_CNMBR,NOM_AH,NOM_ZH,NOM_SZH,NOMBRE_MPI
"4862","9008280",,"-75.54642415","5.795905057",ANTIOQUIA,Magdalena Cauca,Cauca,Río Arma,ABEJORRAL
"4691","9007827",,"-75.46577366","5.940937729",ANTIOQUIA,Magdalena Cauca,Cauca,Río Arma,ABEJORRAL
"4740","9007954",,"-75.48170406","5.902392775",ANTIOQUIA,Magdalena Cauca,Cauca,Río Arma,ABEJORRAL
"4777","9008060",,"-75.47746087","5.850725862",ANTIOQUIA,Magdalena Cauca,Cauca,Río Arma,ABEJORRAL
"4905","9008413",,"-75.49634325","5.689627238",ANTIOQUIA,Magdalena Cauca,Cauca,Río Arma,ABEJORRAL
"4940","9008530",,"-75.90288305","5.614583187",ANTIOQUIA,Magdalena Cauca,Cauca,Río San Juan,ANDES
"4932","9008509",,"-75.87724132","5.663506758",ANTIOQUIA,Magdalena Cauca,Cauca,Río San Juan,ANDES
"4874","9008308",,"-75.89126357","5.738013086",ANTIOQUIA,Magdalena Cauca,Cauca,Río San Juan,ANDES
"4977","9008658",,"-75.8758091","5.577900079",ANTIOQUIA,Magdalena Cauca,Cauca,Río San Juan,ANDES
"4177","9006110",,"-75.33201929","6.877717098",ANTIOQUIA,Magdalena Cauca,Nechí,Alto Nechí,ANGOSTURA
"4186","9006153",,"-75.27930682","6.893422972",ANTIOQUIA,Magdalena Cauca,Nechí,Alto Nechí,ANGOSTURA
"4153","9006016",,"-75.32924071","6.905476887",ANTIOQUIA,Magdalena Cauca,Nechí,Alto Nechí,ANGOSTURA
"4138","9005950",,"-75.30330572","6.939522698",ANTIOQUIA,Magdalena Cauca,Nechí,Alto Nechí,ANGOSTURA
"4123","9005875",,"-75.29553115","6.96370126",ANTIOQUIA,Magdalena Cauca,Nechí,Alto Nechí,ANGOSTURA
"4214","9006273",,"-75.35549869","6.801858853",ANTIOQUIA,Magdalena Cauca,Nechí,Alto Nechí,ANGOSTURA
"1054","9005262",RÃO PORCE,"-74.90017556","7.3393623",ANTIOQUIA,Magdalena Cauca,Nechí,Río Porce,ANORÍ
"3931","9005154",,"-75.10099673","7.363316047",ANTIOQUIA,Magdalena Cauca,Nechí,Alto Nechí,ANORÍ
"3927","9005145",,"-75.14636069","7.37275213",ANTIOQUIA,Magdalena Cauca,Nechí,Alto Nechí,ANORÍ
"1521","9005253",RÃO NECHÃ,"-75.03419348","7.339188099",ANTIOQUIA,Magdalena Cauca,Nechí,Alto Nechí,ANORÍ
"3932","9005160",,"-74.98232926","7.366703942",ANTIOQUIA,Magdalena Cauca,Nechí,Alto Nechí,ANORÍ
"1520","9005099",RÃO NECHÃ,"-74.99278736","7.389892511",ANTIOQUIA,Magdalena Cauca,Nechí,Alto Nechí,ANORÍ
"4025","9005552",,"-75.05797077","7.212340468",ANTIOQUIA,Magdalena Cauca,Nechí,Alto Nechí,ANORÍ
"3981","9005421",,"-75.19342197","7.223452568",ANTIOQUIA,Magdalena Cauca,Nechí,Alto Nechí,ANORÍ
"3970","9005366",,"-75.21455189","7.239936427",ANTIOQUIA,Magdalena Cauca,Nechí,Alto Nechí,ANORÍ
"3964","9005332",,"-75.21268819","7.250175267",ANTIOQUIA,Magdalena Cauca,Nechí,Alto Nechí,ANORÍ
"3950","9005281",,"-75.073741","7.285971167",ANTIOQUIA,Magdalena Cauca,Nechí,Alto Nechí,ANORÍ
"3962","9005323",,"-75.18504687","7.301056506",ANTIOQUIA,Magdalena Cauca,Nechí,Alto Nechí,ANORÍ
"4130","9005920",,"-75.22434939","6.973427884",ANTIOQUIA,Magdalena Cauca,Nechí,Alto Nechí,ANORÍ
"4079","9005729",,"-75.20465067","7.03579143",ANTIOQUIA,Magdalena Cauca,Nechí,Alto Nechí,ANORÍ
"4076","9005724",,"-75.24767913","7.0556452",ANTIOQUIA,Magdalena Cauca,Nechí,Alto Nechí,ANORÍ
"4045","9005631",,"-75.29039797","7.145172773",ANTIOQUIA,Magdalena Cauca,Nechí,Alto Nechí,ANORÍ
"3982","9005424",,"-75.27026927","7.240823947",ANTIOQUIA,Magdalena Cauca,Nechí,Alto Nechí,ANORÍ
"1351","9007225",RÃO CAUCA,"-75.84150523","6.264962417",ANTIOQUIA,Magdalena Cauca,Cauca,Directos Río Cauca entre Río San Juan y Pto Valdia,ANZÁ
"1350","9007172",RÃO CAUCA,"-75.86826886","6.284276897",ANTIOQUIA,Magdalena Cauca,Cauca,Directos Río Cauca entre Río San Juan y Pto Valdia,ANZÁ
"4907","9008417",,"-75.07008546","5.664194588",ANTIOQUIA,Magdalena Cauca,Medio Magdalena,Río La Miel (Samaná),ARGELIA
"4903","9008411",,"-75.10619475","5.684240498",ANTIOQUIA,Magdalena Cauca,Medio Magdalena,Río La Miel (Samaná),ARGELIA
"1352","9007272",RÃO CAUCA,"-75.85519623","6.232451301",ANTIOQUIA,Magdalena Cauca,Cauca,Directos Río Cauca  entre Río San Juan y  Pto Valdivia,ARMENIA
"4581","9007502",,"-75.85458334","6.102083337",ANTIOQUIA,Magdalena Cauca,Cauca,Directos Río Cauca  entre Río San Juan y  Pto Valdivia,ARMENIA
"4582","9007503",,"-75.82884396","6.102358787",ANTIOQUIA,Magdalena Cauca,Cauca,Directos Río Cauca  entre Río San Juan y  Pto Valdivia,ARMENIA
"4890","9008364",,"-75.92125325","5.700150419",ANTIOQUIA,Magdalena Cauca,Cauca,Río San Juan,BETANIA
"4832","9008203",,"-75.90820541","5.762741642",ANTIOQUIA,Magdalena Cauca,Cauca,Río San Juan,BETANIA
"4544","9007387",,"-75.93108928","6.173266809",ANTIOQUIA,Magdalena Cauca,Cauca,Directos Río Cauca entre Río San Juan y Pto Valdia,BETULIA
"4534","9007348",,"-75.94522687","6.194034355",ANTIOQUIA,Magdalena Cauca,Cauca,Directos Río Cauca entre Río San Juan y Pto Valdia,BETULIA
"4532","9007342",,"-75.88295025","6.205899932",ANTIOQUIA,Magdalena Cauca,Cauca,Directos Río Cauca entre Río San Juan y Pto Valdia,BETULIA
"4793","9008091",,"-75.97034144","5.832400648",ANTIOQUIA,Magdalena Cauca,Cauca,Río San Juan,CIUDAD BOLÍVAR
"1329","9005783",RÃO CAUCA,"-75.66830493","7.04593359",ANTIOQUIA,Magdalena Cauca,Cauca,Directos Río Cauca  entre Río San Juan y  Pto Valdivia,BRICEÑO
"1320","9005433",RÃO CAUCA,"-75.50200847","7.223617928",ANTIOQUIA,Magdalena Cauca,Cauca,Directos Río Cauca  entre Río San Juan y  Pto Valdivia,BRICEÑO
"1336","9006272",RÃO CAUCA,"-75.89156969","6.780826362",ANTIOQUIA,Magdalena Cauca,Cauca,Directos Río Cauca entre Río San Juan y Pto Valdia,BURITICÁ
"1334","9006068",RÃO CAUCA,"-75.87336114","6.862787469",ANTIOQUIA,Magdalena Cauca,Cauca,Directos Río Cauca entre Río San Juan y Pto Valdia,BURITICÁ
"3919","9005103",,"-75.07991048","7.404112227",ANTIOQUIA,Magdalena Cauca,Nechí,Alto Nechí,CÁCERES
"3897","9005026",,"-75.07269228","7.445708736",ANTIOQUIA,Magdalena Cauca,Nechí,Alto Nechí,CÁCERES
"1519","9005096",RÃO NECHÃ,"-75.02260346","7.406025364",ANTIOQUIA,Magdalena Cauca,Nechí,Alto Nechí,CÁCERES
"1302","9004443",RÃO CAUCA,"-75.19886576","7.848238727",ANTIOQUIA,Magdalena Cauca,Cauca,Directos al Cauca entre Pto Valdivia y Río Nechí,CÁCERES
"1306","9004699",RÃO CAUCA,"-75.3143327","7.627819865",ANTIOQUIA,Magdalena Cauca,Cauca,Directos al Cauca entre Pto Valdivia y Río Nechí,CÁCERES
"1309","9004806",RÃO CAUCA,"-75.27934293","7.59593506",ANTIOQUIA,Magdalena Cauca,Cauca,Directos al Cauca entre Pto Valdivia y Río Nechí,CÁCERES
"1304","9004680",RÃO CAUCA,"-75.2421571","7.670887058",ANTIOQUIA,Magdalena Cauca,Cauca,Directos al Cauca entre Pto Valdivia y Río Nechí,CÁCERES
"1308","9004739",RÃO CAUCA,"-75.3559135","7.577104275",ANTIOQUIA,Magdalena Cauca,Cauca,Directos al Cauca entre Pto Valdivia y Río Nechí,CÁCERES
"3774","9004439",,"-75.44738219","7.740673805",ANTIOQUIA,Magdalena Cauca,Cauca,Río Taraza - Río Man,CÁCERES
"1305","9004698",RÃO CAUCA,"-75.35876635","7.610372629",ANTIOQUIA,Magdalena Cauca,Cauca,Río Taraza - Río Man,CÁCERES
"3767","9004417",,"-75.32636604","7.830499692",ANTIOQUIA,Magdalena Cauca,Cauca,Río Taraza - Río Man,CÁCERES
